会社名,slug,業界,factsheet,10コマ,企業紹介,決算書,AI OB
三菱商事,mitsubishi-corp,総合商社,✓,✓,,,✓
三井物産,mitsui-bussan,総合商社,✓,✓,✓,✓,✓
伊藤忠商事,itochu,総合商社,✓,✓,,,
住友商事,sumitomo-corp,総合商社,✓,✓,,,✓
丸紅,marubeni,総合商社,✓,✓,,,✓
豊田通商,toyota-tsusho,総合商社,✓,✓,,,✓
双日,sojitz,総合商社,✓,✓,,,✓
兼松,kanematsu,総合商社,✓,✓,,,✓
岩谷産業,iwatani,総合商社,✓,✓,,,✓
神鋼商事,shinkokusyoji,総合商社,✓,✓,,,✓
トヨタ自動車,toyota-motor,自動車・モビリティ,✓,✓,,,✓
本田技研工業（ホンダ）,honda,自動車・モビリティ,✓,✓,,,✓
日産自動車,nissan,自動車・モビリティ,✓,✓,,,✓
スズキ,suzuki,自動車・モビリティ,✓,✓,,,✓
SUBARU,subaru,自動車・モビリティ,✓,✓,,,✓
マツダ,mazda,自動車・モビリティ,✓,✓,,,✓
三菱自動車,mitsubishi-motors,自動車・モビリティ,✓,✓,,,✓
いすゞ自動車,isuzu,自動車・モビリティ,✓,✓,,,✓
アイシン,aisin,自動車・モビリティ,✓,✓,,,✓
デンソー,denso,自動車・モビリティ,✓,✓,,,✓
豊田自動織機,toyota-shokki,自動車・モビリティ,✓,✓,,,✓
ソニーグループ,sony-group,電機・精密・重工,✓,✓,,,✓
日立製作所,hitachi,電機・精密・重工,✓,,,,✓
パナソニック ホールディングス,panasonic-hd,電機・精密・重工,✓,✓,,,✓
三菱電機,mitsubishi-electric,電機・精密・重工,✓,✓,,,✓
キーエンス,keyence,電機・精密・重工,✓,,,,✓
村田製作所,murata,電機・精密・重工,✓,✓,,,✓
信越化学工業,shinetsu-chemical,電機・精密・重工,✓,✓,,,✓
東京エレクトロン,tokyo-electron,電機・精密・重工,✓,✓,,,✓
キヤノン,canon,電機・精密・重工,✓,,,,✓
富士フイルムホールディングス,fujifilm-hd,電機・精密・重工,✓,✓,,,✓
京セラ,kyocera,電機・精密・重工,✓,✓,,,✓
三菱重工業,mitsubishi-heavy,電機・精密・重工,✓,,,,✓
ダイキン工業,daikin,電機・精密・重工,✓,✓,,,✓
コマツ（小松製作所）,komatsu,電機・精密・重工,✓,✓,,,✓
ファナック,fanuc,電機・精密・重工,✓,✓,,,✓
ニデック,nidec,電機・精密・重工,✓,✓,,,✓
TDK,tdk,電機・精密・重工,✓,✓,,,✓
オムロン,omron,電機・精密・重工,✓,✓,,,✓
アドバンテスト,advantest,電機・精密・重工,✓,✓,,,✓
ルネサスエレクトロニクス,renesas,電機・精密・重工,✓,✓,,,✓
ブリヂストン,bridgestone,電機・精密・重工,✓,✓,,,✓
川崎重工業,kawasaki-heavy,電機・精密・重工,✓,✓,,,✓
IHI,ihi,電機・精密・重工,✓,✓,,,✓
クボタ,kubota,電機・精密・重工,✓,✓,,,✓
安川電機,yaskawa,電機・精密・重工,✓,✓,,,✓
島津製作所,shimadzu,電機・精密・重工,✓,✓,,,✓
HOYA,hoya,電機・精密・重工,✓,✓,,,✓
ニコン,nikon,電機・精密・重工,✓,✓,,,✓
セイコーエプソン,seiko-epson,電機・精密・重工,✓,✓,,,✓
リコー,ricoh,電機・精密・重工,✓,,,,✓
日本製鉄,nippon-steel,鉄鋼・素材・化学,✓,✓,,,✓
JFEホールディングス,jfe-hd,鉄鋼・素材・化学,✓,✓,,,
神戸製鋼所,kobe-steel,鉄鋼・素材・化学,✓,,,,✓
住友電気工業,sumitomo-electric,鉄鋼・素材・化学,✓,✓,,,✓
住友金属鉱山,sumitomo-metal-mining,鉄鋼・素材・化学,✓,✓,,,
三菱マテリアル,mitsubishi-materials,鉄鋼・素材・化学,✓,✓,,,✓
三菱ケミカルグループ,mitsubishi-chemical,鉄鋼・素材・化学,✓,✓,,,✓
住友化学,sumitomo-chemical,鉄鋼・素材・化学,✓,✓,,,✓
旭化成,asahi-kasei,鉄鋼・素材・化学,✓,✓,,,✓
東レ,toray,鉄鋼・素材・化学,✓,✓,,,✓
